4397	LOC_Os02g08140	3	47955604	47956683	+	1	0	relic-retaining	sbi
8968	LOC_Os02g52510	4	63921086	63928674	-	2	0	relic-retaining	sbi
8968	LOC_Os02g52510	5	209754553	209757880	-	2	0	relic-retaining	zm
5146	LOC_Os03g10940	1	6133765	6136732	-	1	0	relic-retaining	sbi
10318	LOC_Os01g74500	3	74386656	74396272	+	NA	NA	relic-lacking	sbi
165	LOC_Os11g48060	4	57749194	57750836	+	2	0	relic-retaining	sbi
10276	LOC_Os10g28230	3	157041566	157041979	+	2	0	relic-retaining	zm
16364	LOC_Os01g55549	3	63381108	63384547	-	4	0	relic-retaining	sbi
11573	LOC_Os04g38470	10	121455394	121492570	+	NA	NA	relic-lacking	zm
9435	LOC_Os12g18650	6	49944588	49946702	-	2	0	relic-retaining	sbi
